NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	LOXL2	15	28.417787551879883	0.03539247	Yes	
row_1	PDGFRB	32	25.875194549560547	0.067462556	Yes	
row_2	THBS1	36	25.442819595336914	0.0998435	Yes	
row_3	MEIS3	85	20.777727127075195	0.12325801	Yes	
row_4	JAM3	100	19.67061424255371	0.14751591	Yes	
row_5	ITGA5	116	19.25518226623535	0.17117533	Yes	
row_6	SERPINE1	126	18.914012908935547	0.19479689	Yes	
row_7	PDGFRA	183	16.13265037536621	0.21173118	Yes	
row_8	SLIT2	194	15.744550704956055	0.23122762	Yes	
row_9	BMP4	205	15.356771469116211	0.2502275	Yes	
row_10	COL4A1	228	14.725882530212402	0.2676215	Yes	
row_11	PLXDC1	232	14.632184028625488	0.286159	Yes	
row_12	RECK	261	13.869429588317871	0.30205724	Yes	
row_13	SFRP2	275	13.555318832397461	0.3185508	Yes	
row_14	TGFBR2	302	13.124903678894043	0.33362862	Yes	
row_15	SCG2	352	12.010629653930664	0.34575006	Yes	
row_16	AMOTL1	355	11.875977516174316	0.36082467	Yes	
row_17	ANGPT1	359	11.774910926818848	0.37570336	Yes	
row_18	PXDN	386	11.32361125946045	0.38847458	Yes	
row_19	EGR3	395	11.198234558105469	0.40228233	Yes	
row_20	CD93	407	11.018901824951172	0.4156609	Yes	
row_21	CDH5	413	10.799599647521973	0.42915764	Yes	
row_22	TBX1	450	10.256366729736328	0.4398972	Yes	
row_23	TEK	455	10.186569213867188	0.45267546	Yes	
row_24	PGF	487	9.7409029006958	0.46308747	Yes	
row_25	HEY1	563	8.902027130126953	0.46949914	Yes	
row_26	TGFBI	571	8.830119132995605	0.48034093	Yes	
row_27	NR4A1	573	8.796849250793457	0.4915391	Yes	
row_28	COL18A1	585	8.63586139678955	0.5018661	Yes	
row_29	PLXND1	592	8.59321117401123	0.512471	Yes	
row_30	BMPER	595	8.580376625061035	0.5233255	Yes	
row_31	PARVA	606	8.454581260681152	0.53348684	Yes	
row_32	CCBE1	609	8.44527816772461	0.54416835	Yes	
row_33	S1PR1	641	8.15216064453125	0.5525459	Yes	
row_34	AMOTL2	676	7.820689678192139	0.56029946	Yes	
row_35	VEGFC	689	7.7118144035339355	0.5693767	Yes	
row_36	EPHA2	693	7.6764960289001465	0.5790072	Yes	
row_37	APOD	695	7.674160480499268	0.58876777	Yes	
row_38	PTPRB	709	7.533153057098389	0.59754974	Yes	
row_39	SEMA5A	718	7.478938102722168	0.60659474	Yes	
row_40	GREM1	754	7.172321796417236	0.61345154	Yes	
row_41	THY1	775	6.986418724060059	0.6210679	Yes	
row_42	TCF21	803	6.734614372253418	0.62789625	Yes	
row_43	VASH1	820	6.6090617179870605	0.63529533	Yes	
row_44	ENG	868	6.283934116363525	0.6402165	Yes	
row_45	DLL1	914	6.022837162017822	0.6449364	Yes	
row_46	KDR	920	5.996771812438965	0.65228295	Yes	
row_47	NRP2	930	5.953973770141602	0.6593087	Yes	
row_48	ACVRL1	935	5.893024444580078	0.6665889	Yes	
row_49	FLT4	943	5.844476699829102	0.67360747	Yes	
row_50	IGFBP7	970	5.697262287139893	0.67917395	Yes	
row_51	AMOT	972	5.692261695861816	0.6863966	Yes	
row_52	ITGB1	986	5.6218976974487305	0.6927311	Yes	
row_53	CALCRL	1050	5.255730152130127	0.69527155	Yes	
row_54	PDGFB	1145	4.781968116760254	0.6951438	Yes	
row_55	NOTCH4	1200	4.584200859069824	0.6974229	Yes	
row_56	HOXA3	1220	4.498856067657471	0.70192033	Yes	
row_57	NRCAM	1242	4.428866386413574	0.70619506	Yes	
row_58	TGFBR1	1259	4.355206489562988	0.710708	Yes	
row_59	EPHB4	1296	4.236883163452148	0.7137394	Yes	
row_60	FLT1	1307	4.1729936599731445	0.71841806	Yes	
row_61	MYH9	1356	4.023057460784912	0.7203776	Yes	
row_62	FGF2	1394	3.8962290287017822	0.7229063	Yes	
row_63	MCAM	1404	3.8733699321746826	0.72726774	Yes	
row_64	ANXA2	1408	3.86177396774292	0.7320134	Yes	
row_65	APOLD1	1444	3.746413469314575	0.7344832	Yes	
row_66	CD34	1464	3.6945176124572754	0.7379506	Yes	
row_67	CDH13	1465	3.6944029331207275	0.74268144	Yes	
row_68	RAMP2	1504	3.5603370666503906	0.7447135	Yes	
row_69	RORA	1525	3.509084463119507	0.74787694	Yes	
row_70	RBPJ	1553	3.4496490955352783	0.7504988	Yes	
row_71	EFNB2	1560	3.4236998558044434	0.75448394	Yes	
row_72	DLL4	1580	3.386364698410034	0.75755674	Yes	
row_73	EPHB2	1651	3.2064948081970215	0.7570076	No	
row_74	PDGFA	1895	2.641733407974243	0.7442303	No	
row_75	NRP1	1903	2.623079538345337	0.7471237	No	
row_76	ENPEP	1933	2.5548479557037354	0.74846673	No	
row_77	ROBO1	2192	2.1602590084075928	0.7340753	No	
row_78	EPHB3	2206	2.145613193511963	0.73595834	No	
row_79	ID1	2246	2.0815064907073975	0.73603016	No	
row_80	LEPR	2303	1.9824498891830444	0.7348446	No	
row_81	GATA2	2304	1.982423186302185	0.7373832	No	
row_82	GAB1	2389	1.8725560903549194	0.7341948	No	
row_83	MED1	2393	1.8696733713150024	0.7363895	No	
row_84	PTK2	2492	1.7443764209747314	0.732106	No	
row_85	SRF	2602	1.6272432804107666	0.72694093	No	
row_86	MICALL1	2640	1.5852941274642944	0.7265104	No	
row_87	BMPR1A	2647	1.5770628452301025	0.7281309	No	
row_88	TGFB1	2926	1.318688988685608	0.7113318	No	
row_89	CTNND1	2928	1.3151702880859375	0.7129494	No	
row_90	JAG1	2936	1.3094996213912964	0.71416074	No	
row_91	ANGPT2	2989	1.2580138444900513	0.71231353	No	
row_92	BCAM	3123	1.1516330242156982	0.70494336	No	
row_93	ITGB3	3282	1.044735074043274	0.6957738	No	
row_94	ACTG1	3313	1.0249086618423462	0.6950911	No	
row_95	HOXA7	3450	0.9349771738052368	0.68724406	No	
row_96	HOXB13	3505	0.8975317478179932	0.68480223	No	
row_97	SIRT1	3696	0.7992960214614868	0.67319024	No	
row_98	GJA5	3778	0.7502085566520691	0.66876423	No	
