NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CD209	1302	4.1819305419921875	-0.070868485	No	
row_1	PIKFYVE	2435	1.810276985168457	-0.13908088	No	
row_2	ULBP3	2528	1.7045931816101074	-0.13899657	No	
row_3	LNPEP	2879	1.3568347692489624	-0.1572065	No	
row_4	IDE	4800	0.3528951406478882	-0.28272253	No	
row_5	ULBP2	4913	0.3260294795036316	-0.28894055	No	
row_6	ERAP2	5460	0.19288988411426544	-0.32429978	No	
row_7	DNM2	6785	-0.0513075515627861	-0.4115475	No	
row_8	CTSE	7180	-0.12052083760499954	-0.43713063	No	
row_9	LGMN	8076	-0.302280068397522	-0.49514154	No	
row_10	ACE	8349	-0.36890357732772827	-0.51177055	No	
row_11	SLC11A1	8504	-0.4069271981716156	-0.5204698	No	
row_12	PDIA3	8907	-0.5114316940307617	-0.54516864	No	
row_13	CTSD	9116	-0.5705710649490356	-0.5568425	No	
row_14	MPEG1	9176	-0.5901519060134888	-0.55860615	No	
row_15	FCGR2B	10752	-1.1761950254440308	-0.6583643	No	
row_16	ERAP1	11698	-1.620885968208313	-0.7149121	No	
row_17	HLA-DQB2	11970	-1.7838993072509766	-0.7263619	No	
row_18	CLEC4A	12314	-2.0309603214263916	-0.7416735	No	
row_19	CALR	12424	-2.099682569503784	-0.74128413	No	
row_20	MFSD6	12742	-2.3609001636505127	-0.75368655	No	
row_21	CTSF	12781	-2.396587610244751	-0.74753565	No	
row_22	IKBKB	13756	-3.425952434539795	-0.7994758	No	
row_23	HLA-DQB1	14003	-3.8160595893859863	-0.80193114	Yes	
row_24	SAR1B	14074	-3.944960832595825	-0.79229826	Yes	
row_25	HLA-DQA1	14260	-4.2740678787231445	-0.7890703	Yes	
row_26	AZGP1	14317	-4.424611568450928	-0.7767796	Yes	
row_27	HLA-DQA2	14348	-4.473880290985107	-0.7625939	Yes	
row_28	HLA-G	14427	-4.646975994110107	-0.7509525	Yes	
row_29	FCER1G	14516	-4.856703758239746	-0.7392135	Yes	
row_30	TAPBPL	14649	-5.219629287719727	-0.72906876	Yes	
row_31	TAPBP	14959	-6.866138458251953	-0.7246627	Yes	
row_32	CTSS	14991	-7.176479339599609	-0.70077693	Yes	
row_33	HLA-DPB1	15026	-7.668962478637695	-0.6753096	Yes	
row_34	HLA-DRB5	15066	-8.290501594543457	-0.6479265	Yes	
row_35	HLA-DOA	15076	-8.431190490722656	-0.61805385	Yes	
row_36	HLA-DRB1	15082	-8.55451488494873	-0.5874714	Yes	
row_37	HLA-DMB	15088	-8.659514427185059	-0.55650955	Yes	
row_38	HLA-DPA1	15109	-9.121464729309082	-0.52486897	Yes	
row_39	HLA-DRA	15118	-9.25808334350586	-0.4919422	Yes	
row_40	IFI30	15134	-10.030172348022461	-0.4566877	Yes	
row_41	B2M	15138	-10.261972427368164	-0.4198031	Yes	
row_42	HLA-C	15149	-11.099032402038574	-0.38035598	Yes	
row_43	HLA-E	15150	-11.117681503295898	-0.3401811	Yes	
row_44	HLA-B	15151	-11.138444900512695	-0.29993117	Yes	
row_45	HLA-DMA	15159	-11.834590911865234	-0.25762793	Yes	
row_46	HLA-DOB	15164	-12.35726261138916	-0.21323784	Yes	
row_47	HLA-A	15166	-12.697202682495117	-0.16742122	Yes	
row_48	HLA-F	15179	-14.076173782348633	-0.11734796	Yes	
row_49	TAP2	15183	-14.824706077575684	-0.063975476	Yes	
row_50	TAP1	15190	-17.86861801147461	1.9839489E-4	Yes	
