NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	4	32.399681091308594	0.09216414	Yes	
row_1	COL1A2	11	29.397796630859375	0.1756327	Yes	
row_2	LAMB1	12	29.04438018798828	0.25848892	Yes	
row_3	COL1A1	20	27.48004722595215	0.33642066	Yes	
row_4	PDGFRB	32	25.875194549560547	0.40951023	Yes	
row_5	THBS1	36	25.442819595336914	0.4818942	Yes	
row_6	FN1	71	21.863208770751953	0.54202104	Yes	
row_7	COL4A1	228	14.725882530212402	0.57373726	Yes	
row_8	EDIL3	241	14.362748146057129	0.6139188	Yes	
row_9	TGFBR2	302	13.124903678894043	0.647402	Yes	
row_10	COL4A5	316	12.779044151306152	0.6829996	Yes	
row_11	SDC1	356	11.86196517944336	0.7142655	Yes	
row_12	PLAU	409	10.969450950622559	0.7421276	Yes	
row_13	COL4A6	454	10.195211410522461	0.7683088	Yes	
row_14	TGFBI	571	8.830119132995605	0.78584516	Yes	
row_15	VTN	697	7.667983055114746	0.7994724	Yes	
row_16	LAMA4	705	7.56685209274292	0.8205969	Yes	
row_17	THY1	775	6.986418724060059	0.8359747	Yes	
row_18	KDR	920	5.996771812438965	0.8435808	Yes	
row_19	SPHK1	1036	5.317519187927246	0.85116255	Yes	
row_20	PDGFB	1145	4.781968116760254	0.85767835	Yes	
row_21	LAMC1	1300	4.195195198059082	0.8594852	Yes	
row_22	TNC	1469	3.685319423675537	0.8589138	No	
row_23	L1CAM	2050	2.3602445125579834	0.8273783	No	
row_24	PLAUR	2593	1.640549898147583	0.79629695	No	
row_25	PVR	2708	1.5042959451675415	0.79306656	No	
row_26	ITGB3	3282	1.044735074043274	0.7582401	No	
row_27	HMGB1	6257	0.03093511424958706	0.56210244	No	
row_28	SPP1	7072	-0.10220693051815033	0.5086859	No	
row_29	ITGAV	7105	-0.10874374955892563	0.50688475	No	
row_30	VEGFA	7843	-0.25132274627685547	0.45897406	No	
row_31	IBSP	8695	-0.4565708041191101	0.40412718	No	
row_32	F11R	10147	-0.9267581105232239	0.3110333	No	
row_33	COL4A4	10239	-0.9606071710586548	0.30776948	No	
row_34	COL4A3	10884	-1.2394574880599976	0.2688139	No	
row_35	SDC4	11667	-1.607848882675171	0.22180395	No	
row_36	CD47	12028	-1.816176414489746	0.20323206	No	
row_37	ITGA2B	12185	-1.938501238822937	0.19846916	No	
