NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A1	7	31.1781005859375	0.06967165	Yes	
row_1	COL1A2	11	29.397796630859375	0.13560253	Yes	
row_2	LOXL2	15	28.417787551879883	0.19932894	Yes	
row_3	COL1A1	20	27.48004722595215	0.26087996	Yes	
row_4	COL3A1	27	26.716320037841797	0.32058105	Yes	
row_5	LOXL1	31	26.20947265625	0.37934	Yes	
row_6	COL5A2	59	22.85744857788086	0.42897505	Yes	
row_7	ADAMTS2	114	19.320634841918945	0.46887267	Yes	
row_8	LOX	115	19.259807586669922	0.5121966	Yes	
row_9	P4HA3	129	18.85076904296875	0.55374265	Yes	
row_10	ADAMTS14	211	15.163331985473633	0.582507	Yes	
row_11	BMP1	213	15.095419883728027	0.61639744	Yes	
row_12	COL14A1	218	15.053777694702148	0.64999616	Yes	
row_13	COL5A3	283	13.445183753967285	0.6760174	Yes	
row_14	COL11A1	308	12.975887298583984	0.70362234	Yes	
row_15	LUM	313	12.807376861572266	0.73216796	Yes	
row_16	SERPINH1	321	12.643220901489258	0.7601464	Yes	
row_17	PXDN	386	11.32361125946045	0.7813952	Yes	
row_18	COL12A1	451	10.256308555603027	0.80024326	Yes	
row_19	PLOD1	502	9.55329704284668	0.81843364	Yes	
row_20	COL2A1	519	9.34322452545166	0.838395	Yes	
row_21	DDR2	572	8.822925567626953	0.8548105	Yes	
row_22	DPT	629	8.270851135253906	0.8697202	Yes	
row_23	GREM1	754	7.172321796417236	0.87767184	Yes	
row_24	CYP1B1	790	6.850042819976807	0.8907712	Yes	
row_25	P4HA1	1040	5.295558929443359	0.88625306	Yes	
row_26	TLL1	1182	4.63731050491333	0.8873806	Yes	
row_27	TGFBR1	1259	4.355206489562988	0.89216256	Yes	
row_28	TGFB2	1836	2.7915730476379395	0.86043483	No	
row_29	LOXL3	2166	2.1927292346954346	0.84365827	No	
row_30	CRTAP	2469	1.7651033401489258	0.82770133	No	
row_31	NF1	2852	1.3813724517822266	0.8056025	No	
row_32	PLOD3	3795	0.7429008483886719	0.7451159	No	
row_33	LOXL4	4164	0.5839745998382568	0.7221471	No	
row_34	PLOD2	4444	0.4690726697444916	0.7047925	No	
row_35	ADAMTS3	6429	0.004718590062111616	0.5738892	No	
row_36	SERPINF2	6832	-0.06030537560582161	0.54749894	No	
row_37	ATP7A	7971	-0.2781669497489929	0.47303396	No	
row_38	COL11A2	11521	-1.5303364992141724	0.24229623	No	
