NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SERINC5	746	7.214178562164307	-0.03567554	No	
row_1	TRIM13	1309	4.167791366577148	-0.06500038	No	
row_2	BNIP3L	1582	3.383145809173584	-0.07655328	No	
row_3	IL6	1896	2.6373894214630127	-0.09227439	No	
row_4	ABCC9	2002	2.4425368309020996	-0.09453768	No	
row_5	RNASEL	2120	2.2573845386505127	-0.09795694	No	
row_6	MID2	2263	2.054727077484131	-0.10343063	No	
row_7	TRIM6	2376	1.8883191347122192	-0.10723058	No	
row_8	OPRK1	2732	1.4796665906906128	-0.12798257	No	
row_9	USP20	2877	1.358152151107788	-0.13493547	No	
row_10	TBKBP1	3003	1.248839020729065	-0.14083593	No	
row_11	TRIM35	3013	1.2402981519699097	-0.13903755	No	
row_12	TRIM7	3231	1.0687587261199951	-0.15140507	No	
row_13	TRIM41	3260	1.0541797876358032	-0.1512301	No	
row_14	CARD8	3494	0.9064095616340637	-0.16497555	No	
row_15	IFITM2	3616	0.8438947796821594	-0.17139255	No	
row_16	NCBP1	3774	0.7538772225379944	-0.18037792	No	
row_17	ZCCHC3	3870	0.7046419382095337	-0.18533471	No	
row_18	LYST	3881	0.701339066028595	-0.18464443	No	
row_19	CD207	3972	0.6662572622299194	-0.18934287	No	
row_20	NLRP1	3974	0.6656785011291504	-0.1881229	No	
row_21	SERINC3	4063	0.627790093421936	-0.19276266	No	
row_22	RAB2B	4088	0.614477813243866	-0.1931714	No	
row_23	SETD2	4118	0.6041393876075745	-0.19393268	No	
row_24	BNIP3	4344	0.5097858905792236	-0.20791255	No	
row_25	ZMYND11	4759	0.36741286516189575	-0.23473825	No	
row_26	ZDHHC1	4769	0.3650073707103729	-0.23463145	No	
row_27	TRIM32	4865	0.33716246485710144	-0.24029844	No	
row_28	TRIM8	4872	0.3348262310028076	-0.24005042	No	
row_29	F2RL1	5001	0.30092111229896545	-0.24798234	No	
row_30	BCL2L1	5048	0.28761717677116394	-0.25048602	No	
row_31	AZI2	5518	0.18034012615680695	-0.2813314	No	
row_32	TLR9	5532	0.17548494040966034	-0.2818569	No	
row_33	SMARCA5	5602	0.15916289389133453	-0.2861386	No	
row_34	DDIT4	5818	0.113533616065979	-0.30021915	No	
row_35	FCN3	6110	0.05816848948597908	-0.31946155	No	
row_36	MORC3	6172	0.04756739363074303	-0.32342684	No	
row_37	TRAF3	6274	0.0286566074937582	-0.33008912	No	
row_38	MAVS	6388	0.010600817389786243	-0.3375844	No	
row_39	SLFN11	6390	0.010125539265573025	-0.33763137	No	
row_40	NMB	6596	-0.023266827687621117	-0.35122123	No	
row_41	FADD	6659	-0.030926605686545372	-0.3552852	No	
row_42	TLR8	6770	-0.049463752657175064	-0.36250585	No	
row_43	ZDHHC11	6804	-0.05457127466797829	-0.36459526	No	
row_44	TRIM28	7165	-0.11807487159967422	-0.3883112	No	
row_45	TRAF6	7557	-0.19084924459457397	-0.41394836	No	
row_46	CLPB	7560	-0.19170111417770386	-0.41371092	No	
row_47	DHX15	7563	-0.1924058496952057	-0.4134721	No	
row_48	PDE12	7593	-0.19795526564121246	-0.41501835	No	
row_49	SENP7	7604	-0.20033980906009674	-0.41529632	No	
row_50	AGBL5	7890	-0.26252481341362	-0.43374473	No	
row_51	TRIM56	7983	-0.28140178322792053	-0.43931994	No	
row_52	UAP1	8085	-0.30406367778778076	-0.44544998	No	
row_53	G3BP1	8095	-0.3066444396972656	-0.44545597	No	
row_54	ATAD3A	8189	-0.3288363218307495	-0.45100603	No	
row_55	TRIM52	8269	-0.3500378131866455	-0.45558396	No	
row_56	UBE2W	8368	-0.37411627173423767	-0.46137905	No	
row_57	USP44	8443	-0.3936755955219269	-0.4655401	No	
row_58	STAT2	8966	-0.528697669506073	-0.49923733	No	
row_59	SKP2	9225	-0.6070134043693542	-0.51522416	No	
row_60	ATG7	9359	-0.6506669521331787	-0.5228127	No	
row_61	APOBEC3C	9482	-0.6850359439849854	-0.52960324	No	
row_62	RNASE2	9501	-0.690267026424408	-0.52946645	No	
row_63	CNOT7	9655	-0.7462259531021118	-0.53820056	No	
row_64	TNF	9814	-0.8067548871040344	-0.54715025	No	
row_65	TRIM25	9930	-0.8457895517349243	-0.55316454	No	
row_66	RNF185	10003	-0.8702117204666138	-0.5562716	No	
row_67	TMEM120A	10018	-0.8769119381904602	-0.555508	No	
row_68	TLR7	10404	-1.0250767469406128	-0.5791339	No	
row_69	IRF3	10453	-1.0421053171157837	-0.5803125	No	
row_70	EXOSC4	10719	-1.1553044319152832	-0.59570533	No	
row_71	UBL7	10872	-1.233984351158142	-0.6034303	No	
row_72	PML	10926	-1.2570445537567139	-0.60452604	No	
row_73	PTPRC	11028	-1.3023892641067505	-0.60872674	No	
row_74	AGBL4	11175	-1.374561071395874	-0.61578095	No	
row_75	BCL2	11199	-1.3845312595367432	-0.614635	No	
row_76	PHB2	11215	-1.3901951313018799	-0.612946	No	
row_77	DHX16	11277	-1.419967532157898	-0.61425894	No	
row_78	APOBEC3B	11288	-1.425785779953003	-0.6121686	No	
row_79	TRIM5	11458	-1.5014106035232544	-0.6205075	No	
row_80	TLR2	11476	-1.5063085556030273	-0.6187271	No	
row_81	USP27X	11566	-1.553666353225708	-0.621644	No	
row_82	OTUD4	11572	-1.5568629503250122	-0.61896783	No	
row_83	TANK	11703	-1.623592495918274	-0.62447655	No	
row_84	RPSA	11799	-1.677161455154419	-0.6275539	No	
row_85	MYD88	11919	-1.753706693649292	-0.6320796	No	
row_86	LILRB1	12013	-1.8027195930480957	-0.63478124	No	
row_87	AKAP1	12212	-1.958990454673767	-0.64416456	No	
row_88	TBK1	12366	-2.06156587600708	-0.6503567	No	
row_89	IFNAR2	12472	-2.1353583335876465	-0.6532136	No	
row_90	TRIM11	12609	-2.244507074356079	-0.6579215	No	
row_91	PYCARD	12640	-2.2751283645629883	-0.65551996	No	
row_92	MLKL	12641	-2.277703046798706	-0.6511181	No	
row_93	ZNFX1	12671	-2.3047001361846924	-0.6485929	No	
row_94	IFITM3	12696	-2.318485736846924	-0.6457085	No	
row_95	UBE2N	12743	-2.3613133430480957	-0.6442046	No	
row_96	RNF135	13053	-2.656057357788086	-0.65962356	No	
row_97	DDX56	13146	-2.73966383934021	-0.660448	No	
row_98	NDUFAF4	13274	-2.852247953414917	-0.66338277	No	
row_99	SLFN13	13542	-3.142963409423828	-0.67506725	Yes	
row_100	TTC4	13625	-3.244830846786499	-0.6742503	Yes	
row_101	BST2	13655	-3.285536289215088	-0.66982955	Yes	
row_102	APOBEC3A	13745	-3.411219596862793	-0.6691566	Yes	
row_103	MX2	13862	-3.5691821575164795	-0.6699742	Yes	
row_104	RNASE6	13888	-3.6083221435546875	-0.66466355	Yes	
row_105	DDX60L	14139	-4.0568718910217285	-0.6734512	Yes	
row_106	APOBEC3F	14142	-4.061300754547119	-0.6657354	Yes	
row_107	RSAD2	14195	-4.168782711029053	-0.66113746	Yes	
row_108	PRKRA	14199	-4.175390243530273	-0.65326774	Yes	
row_109	IFITM1	14208	-4.195068836212158	-0.64569247	Yes	
row_110	EIF2AK2	14223	-4.217913627624512	-0.63847214	Yes	
row_111	SAMHD1	14283	-4.33425235748291	-0.63402003	Yes	
row_112	MOV10	14424	-4.6418232917785645	-0.6343609	Yes	
row_113	PRF1	14446	-4.707603931427002	-0.6266598	Yes	
row_114	TLR3	14475	-4.762750625610352	-0.6193177	Yes	
row_115	GBP2	14476	-4.7694292068481445	-0.6101004	Yes	
row_116	RIPK3	14517	-4.863219261169434	-0.60336226	Yes	
row_117	APOBEC3D	14639	-5.187439918518066	-0.60138494	Yes	
row_118	IKBKE	14653	-5.22333288192749	-0.5921551	Yes	
row_119	OAS3	14664	-5.260453224182129	-0.58265394	Yes	
row_120	NLRC5	14671	-5.287604808807373	-0.57283425	Yes	
