NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BGN	6	31.933088302612305	0.109735064	Yes	
row_1	VCAN	43	24.292301177978516	0.19113901	Yes	
row_2	GPC6	45	24.216798782348633	0.274592	Yes	
row_3	CHSY1	94	20.076326370239258	0.34066406	Yes	
row_4	OGN	119	19.09394073486328	0.4049317	Yes	
row_5	DCN	165	17.14639663696289	0.46109694	Yes	
row_6	SDC2	203	15.382715225219727	0.5117075	Yes	
row_7	HSPG2	226	14.778420448303223	0.5612237	Yes	
row_8	GPC1	233	14.619424819946289	0.6112473	Yes	
row_9	OMD	239	14.511360168457031	0.66096425	Yes	
row_10	CSPG4	293	13.33823013305664	0.70346797	Yes	
row_11	LUM	313	12.807376861572266	0.7463844	Yes	
row_12	SDC1	356	11.86196517944336	0.78452265	Yes	
row_13	PAPSS2	404	11.060457229614258	0.8195667	Yes	
row_14	FMOD	897	6.104105472564697	0.80815405	Yes	
row_15	ACAN	1125	4.880951881408691	0.81000894	Yes	
row_16	EXT1	1146	4.781523704528809	0.82517976	Yes	
row_17	CHST14	1193	4.605384826660156	0.83802754	Yes	
row_18	CHST3	1243	4.425134658813477	0.8500557	Yes	
row_19	PRELP	1759	2.9452505111694336	0.8262311	No	
row_20	GPC2	2296	1.9879202842712402	0.7977192	No	
row_21	GPC3	2485	1.7506052255630493	0.79135156	No	
row_22	SLC26A2	2907	1.3336975574493408	0.7681716	No	
row_23	ST3GAL3	3024	1.224420428276062	0.76474017	No	
row_24	AGRN	3293	1.0376192331314087	0.7506348	No	
row_25	B3GALT6	3344	0.9961321353912354	0.750771	No	
row_26	EXT2	3897	0.6950566172599792	0.7167445	No	
row_27	B4GALT7	5875	0.10154125094413757	0.5866427	No	
row_28	GPC4	5899	0.09680550545454025	0.5854589	No	
row_29	BCAN	6384	0.011544773355126381	0.55356205	No	
row_30	B4GALT1	8083	-0.3034268915653229	0.44256628	No	
row_31	HEXB	8323	-0.36234351992607117	0.42804557	No	
row_32	GPC5	8806	-0.48591744899749756	0.3979167	No	
row_33	CHST6	9410	-0.6671853065490723	0.36042887	No	
row_34	SDC3	9723	-0.7722700834274292	0.342505	No	
row_35	CSPG5	9776	-0.7920889854431152	0.34180555	No	
row_36	B3GAT3	11071	-1.3194224834442139	0.26097164	No	
row_37	HEXA	11556	-1.5485987663269043	0.23437577	No	
row_38	SDC4	11667	-1.607848882675171	0.2326626	No	
