NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL5A1	7	31.1781005859375	0.025299389	Yes	
row_1	COL1A2	11	29.397796630859375	0.049393393	Yes	
row_2	LOXL2	15	28.417787551879883	0.072677545	Yes	
row_3	COL1A1	20	27.48004722595215	0.09512034	Yes	
row_4	ECM2	21	27.471452713012695	0.11782182	Yes	
row_5	EMILIN1	26	26.741357803344727	0.13965419	Yes	
row_6	COL3A1	27	26.716320037841797	0.16173166	Yes	
row_7	LOXL1	31	26.20947265625	0.18319093	Yes	
row_8	SH3PXD2B	35	25.58076286315918	0.20413066	Yes	
row_9	MMP2	37	25.394012451171875	0.22504897	Yes	
row_10	MMP14	54	23.417184829711914	0.24333696	Yes	
row_11	ADAMTS7	56	23.09910011291504	0.2623588	Yes	
row_12	CREB3L1	58	22.916597366333008	0.28122988	Yes	
row_13	COL5A2	59	22.85744857788086	0.3001185	Yes	
row_14	NID1	79	21.17734146118164	0.3163562	Yes	
row_15	ADAMTS12	91	20.48077392578125	0.3325499	Yes	
row_16	SULF2	102	19.666770935058594	0.34813735	Yes	
row_17	ADAMTS2	114	19.320634841918945	0.36337233	Yes	
row_18	LOX	115	19.259807586669922	0.379288	Yes	
row_19	CCDC80	125	18.951440811157227	0.39435077	Yes	
row_20	P4HA3	129	18.85076904296875	0.40972906	Yes	
row_21	HMCN1	130	18.827409744262695	0.42528743	Yes	
row_22	ADAMTS10	139	18.42127227783203	0.43997854	Yes	
row_23	MATN3	140	18.34299087524414	0.45513657	Yes	
row_24	ADAMTS9	149	17.65764808654785	0.46919665	Yes	
row_25	SMOC2	154	17.42298126220703	0.48332864	Yes	
row_26	ADAMTS16	181	16.18119239807129	0.49497253	Yes	
row_27	ADAMTS14	211	15.163331985473633	0.50557595	Yes	
row_28	COL4A2	212	15.11036205291748	0.51806265	Yes	
row_29	BMP1	213	15.095419883728027	0.530537	Yes	
row_30	COL14A1	218	15.053777694702148	0.54271114	Yes	
row_31	COL4A1	228	14.725882530212402	0.55428207	Yes	
row_32	ELN	242	14.351383209228516	0.56527776	Yes	
row_33	FLRT2	257	13.977052688598633	0.5758976	Yes	
row_34	NID2	260	13.898611068725586	0.58725005	Yes	
