NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDKN1A	1695	3.07969069480896	-0.10542101	No	
row_1	PDS5B	1892	2.6529717445373535	-0.112205304	No	
row_2	ILF3	4677	0.3920418322086334	-0.29633975	No	
row_3	WEE1	5612	0.15766465663909912	-0.35805324	No	
row_4	CTCF	6278	0.02792857214808464	-0.40219116	No	
row_5	PRKDC	6708	-0.03829392045736313	-0.4306174	No	
row_6	RAD50	6842	-0.06263284385204315	-0.4393107	No	
row_7	SMC6	6875	-0.06674499064683914	-0.4412807	No	
row_8	RFC1	7037	-0.09640472382307053	-0.45175573	No	
row_9	SHMT1	7083	-0.10403355211019516	-0.4545021	No	
row_10	LBR	7516	-0.1828976571559906	-0.4827874	No	
row_11	MRE11A	7729	-0.2267715483903885	-0.49634567	No	
row_12	RAD21	7903	-0.2647123634815216	-0.50722224	No	
row_13	WDR90	7938	-0.2712889611721039	-0.5088437	No	
row_14	SMC3	7988	-0.2826797664165497	-0.5114355	No	
row_15	PNN	8167	-0.3228490650653839	-0.5225076	No	
row_16	BARD1	8333	-0.36593231558799744	-0.5326142	No	
row_17	HMGB3	8406	-0.38391590118408203	-0.5364965	No	
row_18	PPM1D	8432	-0.3916568160057068	-0.5372365	No	
row_19	CDC25A	8678	-0.4532972276210785	-0.5524552	No	
row_20	PAICS	8860	-0.4994501769542694	-0.563311	No	
row_21	MSH2	8890	-0.5073570013046265	-0.56404454	No	
row_22	PSMC3IP	9039	-0.550509512424469	-0.57258666	No	
row_23	RPA1	9088	-0.5625913143157959	-0.5744532	No	
row_24	UBR7	9112	-0.5699531435966492	-0.5746405	No	
row_25	NBN	9157	-0.5821962356567383	-0.576195	No	
row_26	RQCD1	9167	-0.5881207585334778	-0.57540905	No	
row_27	TUBG1	9406	-0.6663830876350403	-0.5896609	No	
row_28	ING3	9472	-0.6814953088760376	-0.59237754	No	
row_29	NOLC1	9711	-0.7684197425842285	-0.60638916	No	
row_30	ASF1A	9785	-0.7965776920318604	-0.6093668	No	
row_31	NUDT21	9865	-0.8226499557495117	-0.6126818	No	
row_32	ATAD2	9946	-0.8516348600387573	-0.6159951	No	
row_33	BRCA2	9972	-0.8588751554489136	-0.6156354	No	
row_34	MKI67	10031	-0.8840040564537048	-0.6174101	No	
row_35	GINS4	10153	-0.9281125068664551	-0.6232687	No	
row_36	POLE	10182	-0.9394860863685608	-0.6229187	No	
row_37	HUS1	10250	-0.9658832550048828	-0.625099	No	
row_38	BRCA1	10317	-0.9914649724960327	-0.62715256	No	
row_39	NAA38	10372	-1.0120762586593628	-0.62836	No	
row_40	NUP153	10395	-1.021911859512329	-0.62741715	No	
row_41	PAN2	10424	-1.03107488155365	-0.62685156	No	
row_42	RAD51C	10467	-1.049550175666809	-0.6271731	No	
row_43	TUBB	10488	-1.0578795671463013	-0.6260127	No	
row_44	SSRP1	10620	-1.11259126663208	-0.63210183	No	
row_45	MYC	11181	-1.3755977153778076	-0.6660883	No	
row_46	MYBL2	11208	-1.3881107568740845	-0.6645494	No	
row_47	SMC4	11263	-1.4143365621566772	-0.66481006	No	
row_48	TRA2B	11320	-1.4411779642105103	-0.66514045	No	
row_49	RAD1	11374	-1.4598608016967773	-0.6652275	No	
row_50	NUP205	11409	-1.4757696390151978	-0.66401404	No	
row_51	DSCC1	11459	-1.5023220777511597	-0.6637352	No	
row_52	ZW10	11461	-1.5033670663833618	-0.6602633	No	
row_53	ANP32E	11505	-1.5208702087402344	-0.659542	No	
row_54	PPP1R8	11826	-1.6963582038879395	-0.67682034	No	
row_55	BUB1B	12023	-1.8124895095825195	-0.6855828	Yes	
row_56	BRMS1L	12050	-1.834704041481018	-0.6829928	Yes	
row_57	EZH2	12065	-1.8504271507263184	-0.6795682	Yes	
row_58	AURKA	12131	-1.8931753635406494	-0.679433	Yes	
row_59	HNRNPD	12295	-2.0201644897460938	-0.68551314	Yes	
row_60	DONSON	12329	-2.0413448810577393	-0.6829021	Yes	
row_61	RRM2	12367	-2.0620477199554443	-0.6805082	Yes	
row_62	KIF18B	12414	-2.0944557189941406	-0.6786363	Yes	
row_63	EXOSC8	12509	-2.162905693054199	-0.67979395	Yes	
row_64	DEK	12557	-2.2054460048675537	-0.6777273	Yes	
row_65	NUP107	12566	-2.213200092315674	-0.6730499	Yes	
row_66	SMC1A	12573	-2.219628095626831	-0.6682246	Yes	
row_67	RFC3	12614	-2.2513935565948486	-0.66558444	Yes	
row_68	RAN	12621	-2.2573275566101074	-0.66067034	Yes	
row_69	NASP	12678	-2.309711456298828	-0.6589565	Yes	
row_70	LYAR	12731	-2.3486087322235107	-0.65688527	Yes	
row_71	EIF2S1	12760	-2.3791098594665527	-0.65314686	Yes	
row_72	RPA3	12933	-2.5309202671051025	-0.6586231	Yes	
row_73	EED	13162	-2.755580425262451	-0.667293	Yes	
row_74	MCM7	13219	-2.8050425052642822	-0.66441333	Yes	
row_75	CDCA8	13263	-2.8405098915100098	-0.66058606	Yes	
row_76	TRIP13	13273	-2.8518190383911133	-0.6544722	Yes	
row_77	SPAG5	13279	-2.8562376499176025	-0.64808196	Yes	
row_78	TOP2A	13282	-2.8578872680664062	-0.64148843	Yes	
row_79	HMMR	13289	-2.8741455078125	-0.63512254	Yes	
row_80	MCM5	13318	-2.9045684337615967	-0.6301474	Yes	
row_81	CIT	13323	-2.911771059036255	-0.62356	Yes	
row_82	POLD3	13333	-2.919015407562256	-0.61728793	Yes	
row_83	CDKN1B	13389	-2.9834158420562744	-0.613922	Yes	
row_84	PRIM2	13411	-2.996981382369995	-0.6082641	Yes	
row_85	CDKN2C	13457	-3.0480635166168213	-0.6040812	Yes	
row_86	SPC25	13513	-3.106489658355713	-0.6004256	Yes	
row_87	GINS3	13516	-3.107917547225952	-0.5932436	Yes	
row_88	CENPE	13529	-3.1273982524871826	-0.5866805	Yes	
row_89	PLK4	13564	-3.166534662246704	-0.58148766	Yes	
row_90	DLGAP5	13583	-3.188479423522949	-0.5751796	Yes	
row_91	GINS1	13627	-3.248599052429199	-0.5703918	Yes	
row_92	TACC3	13646	-3.277095079421997	-0.5638752	Yes	
row_93	HMGA1	13671	-3.308124542236328	-0.55768436	Yes	
row_94	UBE2S	13673	-3.3095645904541016	-0.54996127	Yes	
row_95	RNASEH2A	13701	-3.3422634601593018	-0.5438895	Yes	
row_96	MCM2	13714	-3.367718458175659	-0.53676075	Yes	
row_97	MCM6	13727	-3.384777307510376	-0.52959186	Yes	
row_98	ESPL1	13733	-3.3952455520629883	-0.521933	Yes	
row_99	HELLS	13838	-3.5192811489105225	-0.52056295	Yes	
row_100	PSIP1	13853	-3.552799940109253	-0.5131315	Yes	
row_101	UNG	13972	-3.756544589996338	-0.5121336	Yes	
row_102	TIMELESS	13976	-3.763788938522339	-0.50347435	Yes	
