NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	FBN1	4	32.399681091308594	0.02339509	Yes	
row_1	COL16A1	5	32.00046157836914	0.046764433	Yes	
row_2	SPARC	8	30.717422485351562	0.0690639	Yes	
row_3	COL1A2	11	29.397796630859375	0.09039967	Yes	
row_4	TIMP3	14	28.692869186401367	0.11122064	Yes	
row_5	LOXL2	15	28.417787551879883	0.13197362	Yes	
row_6	CALD1	16	28.366819381713867	0.1526894	Yes	
row_7	COL1A1	20	27.48004722595215	0.17255822	Yes	
row_8	ECM2	21	27.471452713012695	0.1926201	Yes	
row_9	COL3A1	27	26.716320037841797	0.2117983	Yes	
row_10	LOXL1	31	26.20947265625	0.23073924	Yes	
row_11	THBS1	36	25.442819595336914	0.24905387	Yes	
row_12	MMP2	37	25.394012451171875	0.26759863	Yes	
row_13	VCAN	43	24.292301177978516	0.2850066	Yes	
row_14	CDH11	47	24.027847290039062	0.30235437	Yes	
row_15	FSTL1	53	23.427934646606445	0.3191311	Yes	
row_16	MMP14	54	23.417184829711914	0.33623222	Yes	
row_17	COL5A2	59	22.85744857788086	0.3526588	Yes	
row_18	IGFBP4	62	22.470273971557617	0.36893553	Yes	
row_19	ACTA2	64	22.187326431274414	0.38507208	Yes	
row_20	SNAI2	70	21.919124603271484	0.40074697	Yes	
row_21	THBS2	77	21.315616607666016	0.41591465	Yes	
row_22	LOX	115	19.259807586669922	0.4275211	Yes	
row_23	SERPINE1	126	18.914012908935547	0.44066915	Yes	
row_24	CYR61	127	18.894344329833984	0.45446736	Yes	
row_25	CTGF	128	18.852785110473633	0.4682352	Yes	
row_26	ADAM12	134	18.654354095458984	0.48152587	Yes	
row_27	MATN3	140	18.34299087524414	0.49458918	Yes	
row_28	PMP22	145	17.939308166503906	0.5074241	Yes	
row_29	HTRA1	147	17.762527465820312	0.5203293	Yes	
row_30	PCOLCE	163	17.18509864807129	0.5318825	Yes	
row_31	DCN	165	17.14639663696289	0.5443378	Yes	
row_32	SFRP4	170	16.894439697265625	0.55640966	Yes	
row_33	RGS4	172	16.717662811279297	0.56855184	Yes	
row_34	INHBA	185	15.998537063598633	0.57943785	Yes	
row_35	SPOCK1	189	15.838951110839844	0.5908054	Yes	
row_36	SLIT2	194	15.744550704956055	0.60203755	Yes	
row_37	SLIT3	206	15.320716857910156	0.61249506	Yes	
row_38	FSTL3	210	15.166752815246582	0.6233717	Yes	
row_39	COL4A2	212	15.11036205291748	0.6343401	Yes	
row_40	BMP1	213	15.095419883728027	0.645364	Yes	
row_41	CTHRC1	220	14.929512977600098	0.65586805	Yes	
row_42	COL4A1	228	14.725882530212402	0.66615695	Yes	
row_43	GEM	237	14.566446304321289	0.6762629	Yes	
row_44	EDIL3	241	14.362748146057129	0.68655246	Yes	
row_45	CXCL12	252	14.103829383850098	0.69618773	Yes	
row_46	NID2	260	13.898611068725586	0.7058725	Yes	
row_47	COL5A3	283	13.445183753967285	0.71422935	Yes	
row_48	PRRX1	289	13.378717422485352	0.7236673	Yes	
row_49	MXRA5	335	12.422538757324219	0.729749	Yes	
row_50	SCG2	352	12.010629653930664	0.737457	Yes	
row_51	SDC1	356	11.86196517944336	0.7459202	Yes	
row_52	FAP	377	11.419772148132324	0.7529309	Yes	
row_53	MFAP5	424	10.564449310302734	0.7575892	Yes	
row_54	COL12A1	451	10.256308555603027	0.7633515	Yes	
