NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PROCR	1960	2.512794017791748	-0.12485929	No	
row_1	C1S	3246	1.0623574256896973	-0.20783924	No	
row_2	IFITM2	3616	0.8438947796821594	-0.2306356	No	
row_3	CNP	6859	-0.06416317075490952	-0.44500163	No	
row_4	TXNIP	8423	-0.3890199065208435	-0.5476637	No	
row_5	STAT2	8966	-0.528697669506073	-0.5825094	No	
row_6	TRIM25	9930	-0.8457895517349243	-0.6446008	No	
row_7	OGFR	10289	-0.9795684814453125	-0.66640955	No	
row_8	CCRL2	11379	-1.4610499143600464	-0.7356586	No	
row_9	TRIM5	11458	-1.5014106035232544	-0.73794305	No	
row_10	IL7	11763	-1.6542292833328247	-0.75488687	No	
row_11	SELL	11800	-1.6777313947677612	-0.75405496	No	
row_12	LGALS3BP	11895	-1.7420477867126465	-0.7569371	No	
row_13	CD47	12028	-1.816176414489746	-0.76219124	No	
row_14	TRAFD1	12208	-1.9568134546279907	-0.77028555	No	
row_15	IFITM3	12696	-2.318485736846924	-0.7980642	No	
row_16	LY6E	12945	-2.539930820465088	-0.8096065	No	
row_17	TRIM14	12972	-2.5758981704711914	-0.80639255	No	
row_18	PNPT1	13459	-3.049813985824585	-0.8327041	No	
row_19	BST2	13655	-3.285536289215088	-0.83931184	No	
row_20	RIPK2	13826	-3.498333215713501	-0.8438579	No	
row_21	SAMD9	14007	-3.824904680252075	-0.84844005	Yes	
row_22	EPSTI1	14015	-3.8336119651794434	-0.84155995	Yes	
row_23	RSAD2	14195	-4.168782711029053	-0.8454172	Yes	
row_24	IFITM1	14208	-4.195068836212158	-0.83817554	Yes	
row_25	GMPR	14222	-4.216533184051514	-0.83095884	Yes	
row_26	EIF2AK2	14223	-4.217913627624512	-0.8228795	Yes	
row_27	UBA7	14276	-4.305954933166504	-0.8180718	Yes	
row_28	ADAR	14288	-4.344361782073975	-0.810478	Yes	
row_29	HERC6	14315	-4.416736125946045	-0.8037379	Yes	
row_30	SLC25A28	14325	-4.431563377380371	-0.79584473	Yes	
row_31	TDRD7	14367	-4.520185470581055	-0.7898989	Yes	
row_32	MOV10	14424	-4.6418232917785645	-0.78471243	Yes	
row_33	GBP2	14476	-4.7694292068481445	-0.7789508	Yes	
row_34	RNF31	14709	-5.421448707580566	-0.7839151	Yes	
row_35	CSF1	14713	-5.443955421447754	-0.7736857	Yes	
row_36	MX1	14717	-5.455954551696777	-0.7634334	Yes	
row_37	SAMD9L	14773	-5.6452131271362305	-0.7562588	Yes	
row_38	DHX58	14795	-5.73591947555542	-0.74666107	Yes	
row_39	TMEM140	14879	-6.233294486999512	-0.7402125	Yes	
row_40	CASP8	14880	-6.238855361938477	-0.72826207	Yes	
row_41	NUB1	14897	-6.353861331939697	-0.71714985	Yes	
row_42	IRF2	14903	-6.388325214385986	-0.7052439	Yes	
row_43	IL15	14985	-7.074131965637207	-0.69705236	Yes	
row_44	CMPK2	15011	-7.463648796081543	-0.6844098	Yes	
row_45	ISG20	15014	-7.5381903648376465	-0.67010283	Yes	
row_46	IRF7	15027	-7.740503311157227	-0.6560699	Yes	
row_47	PARP14	15033	-7.806068420410156	-0.64144826	Yes	
row_48	OAS1	15036	-7.834973335266113	-0.6265728	Yes	
row_49	IFI44L	15037	-7.836197376251221	-0.6115626	Yes	
row_50	LAMP3	15042	-7.90110969543457	-0.59669274	Yes	
row_51	OASL	15044	-7.94619607925415	-0.5815381	Yes	
row_52	CD74	15048	-8.001235008239746	-0.5664103	Yes	
row_53	IFI44	15070	-8.325431823730469	-0.55185235	Yes	
row_54	IFIT2	15075	-8.426925659179688	-0.53597534	Yes	
row_55	IFIT3	15078	-8.512880325317383	-0.5198013	Yes	
row_56	IFI27	15081	-8.549309730529785	-0.5035575	Yes	
row_57	SP110	15094	-8.745929718017578	-0.48759872	Yes	
row_58	USP18	15105	-8.998071670532227	-0.4710246	Yes	
row_59	LAP3	15107	-9.054370880126953	-0.4537472	Yes	
row_60	ISG15	15115	-9.207924842834473	-0.43657264	Yes	
row_61	RTP4	15120	-9.298943519592285	-0.41902527	Yes	
row_62	PARP12	15125	-9.407758712768555	-0.40126947	Yes	
row_63	IFI30	15134	-10.030172348022461	-0.38258606	Yes	
row_64	B2M	15138	-10.261972427368164	-0.36312783	Yes	
row_65	TRIM21	15140	-10.289429664611816	-0.3434847	Yes	
row_66	HLA-C	15149	-11.099032402038574	-0.3227539	Yes	
row_67	IFIH1	15153	-11.165946960449219	-0.30156416	Yes	
row_68	CXCL11	15156	-11.474527359008789	-0.27971715	Yes	
row_69	IRF9	15157	-11.687451362609863	-0.25732997	Yes	
row_70	BATF2	15165	-12.610295295715332	-0.2336382	Yes	
row_71	IFI35	15168	-12.717256546020508	-0.20941076	Yes	
row_72	PLSCR1	15169	-12.766364097595215	-0.18495694	Yes	
row_73	NMI	15176	-13.594440460205078	-0.15931389	Yes	
row_74	IRF1	15181	-14.451542854309082	-0.13189676	Yes	
row_75	UBE2L6	15185	-15.347854614257812	-0.1026966	Yes	
row_76	TAP1	15190	-17.86861801147461	-0.0687341	Yes	
row_77	PSME2	15191	-17.950611114501953	-0.03434991	Yes	
row_78	GBP4	15192	-17.96729278564453	6.623546E-5	Yes	
