NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MRPS35	4647	0.3993714451789856	-0.3063866	No	
row_1	MRPS27	5729	0.13277964293956757	-0.37752935	No	
row_2	MTIF3	7982	-0.2807380259037018	-0.52572453	No	
row_3	MTRF1L	8187	-0.3277423083782196	-0.53816444	No	
row_4	MRPL45	8440	-0.39334267377853394	-0.5535689	No	
row_5	MRPS31	8644	-0.4431954026222229	-0.56556666	No	
row_6	MRPL19	8991	-0.5359519124031067	-0.5867306	No	
row_7	GFM2	9612	-0.7324147820472717	-0.62539685	No	
row_8	GFM1	9781	-0.7952114939689636	-0.63393074	No	
row_9	MRPS2	9957	-0.8545420169830322	-0.64273494	No	
row_10	MRPL50	10117	-0.916244387626648	-0.6502788	No	
row_11	OXA1L	10281	-0.9776011109352112	-0.6578877	No	
row_12	PTCD3	10295	-0.9813615083694458	-0.6555525	No	
row_13	MTIF2	10436	-1.0357015132904053	-0.6614493	No	
row_14	MRPL3	10531	-1.0756205320358276	-0.6641703	No	
row_15	MRRF	10563	-1.0883686542510986	-0.6626785	No	
row_16	MRPS10	10699	-1.1482410430908203	-0.66787773	No	
row_17	MRPL33	10737	-1.1636065244674683	-0.6665382	No	
row_18	MRPL1	11487	-1.5124492645263672	-0.7112055	No	
row_19	MRPL28	11547	-1.5452357530593872	-0.7100797	No	
row_20	MRPL44	11583	-1.563178539276123	-0.70730644	No	
row_21	MRPL39	12036	-1.8235663175582886	-0.73129565	Yes	
row_22	MRPS5	12111	-1.8809399604797363	-0.7300698	Yes	
row_23	MRPL10	12124	-1.8907862901687622	-0.72470677	Yes	
row_24	ERAL1	12306	-2.0266716480255127	-0.73009104	Yes	
row_25	MTFMT	12321	-2.034191608428955	-0.7243934	Yes	
row_26	MRPL48	12419	-2.096282482147217	-0.7239892	Yes	
row_27	GADD45GIP1	12578	-2.2260689735412598	-0.7272012	Yes	
row_28	MRPL30	12704	-2.3257901668548584	-0.7279035	Yes	
row_29	MRPS14	12718	-2.339916944503784	-0.721144	Yes	
row_30	MRPL41	12734	-2.3548178672790527	-0.7144685	Yes	
row_31	MRPS25	12757	-2.375905752182007	-0.7081877	Yes	
row_32	MRPL42	12759	-2.3789350986480713	-0.7005066	Yes	
row_33	MRPS9	12768	-2.3856873512268066	-0.69326705	Yes	
row_34	MRPS12	12777	-2.3951172828674316	-0.6859968	Yes	
row_35	MRPS16	12904	-2.5082576274871826	-0.686171	Yes	
row_36	MRPS34	12950	-2.5433688163757324	-0.6808678	Yes	
row_37	MRPL46	13057	-2.6569931507110596	-0.67923343	Yes	
row_38	DAP3	13141	-2.7364015579223633	-0.6758176	Yes	
row_39	MRPS33	13157	-2.752824544906616	-0.66784585	Yes	
row_40	MRPL32	13173	-2.7683334350585938	-0.65982366	Yes	
row_41	MRPL47	13183	-2.7746527194976807	-0.6513835	Yes	
row_42	MRPL51	13195	-2.7844741344451904	-0.6430439	Yes	
row_43	MRPL35	13349	-2.9380486011505127	-0.64360625	Yes	
row_44	MRPS28	13357	-2.946404218673706	-0.6344744	Yes	
row_45	MRPL40	13399	-2.9882731437683105	-0.6274574	Yes	
