NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COX4I2	1270	4.318418502807617	-0.064171754	No	
row_1	NDUFAF1	5567	0.16677503287792206	-0.34742177	No	
row_2	NDUFA5	6467	-7.689640042372048E-4	-0.40685233	No	
row_3	UQCRB	7288	-0.14141888916492462	-0.46041554	No	
row_4	NDUFS4	7423	-0.16669264435768127	-0.46851057	No	
row_5	CYCS	8460	-0.3984352946281433	-0.53517604	No	
row_6	NDUFA4	8778	-0.4778268039226532	-0.55394363	No	
row_7	COX6C	8925	-0.5155831575393677	-0.56123316	No	
row_8	UQCRH	10134	-0.9226226210594177	-0.63686764	No	
row_9	UQCRHL	10192	-0.944218635559082	-0.63630897	No	
row_10	SDHA	10243	-0.9615868330001831	-0.63520795	No	
row_11	C2orf69	10487	-1.0576318502426147	-0.6464263	No	
row_12	UQCRC2	10587	-1.097002625465393	-0.6479442	No	
row_13	COX7C	10676	-1.1374608278274536	-0.64854944	No	
row_14	NDUFA10	10980	-1.2800663709640503	-0.66271514	No	
row_15	CYC1	11608	-1.5787479877471924	-0.69693214	No	
row_16	NDUFA3	11835	-1.7013862133026123	-0.7040765	No	
row_17	NDUFS5	12204	-1.9548548460006714	-0.71944714	Yes	
row_18	NDUFS1	12260	-1.9872099161148071	-0.7139767	Yes	
row_19	NDUFA8	12330	-2.041552782058716	-0.7091827	Yes	
row_20	NDUFB1	12479	-2.139242172241211	-0.70916384	Yes	
row_21	NDUFV3	12558	-2.206632137298584	-0.7042084	Yes	
row_22	NDUFB8	12644	-2.2793684005737305	-0.6993824	Yes	
row_23	UQCRC1	12675	-2.308640956878662	-0.6907861	Yes	
row_24	COX4I1	12901	-2.5061185359954834	-0.6941766	Yes	
row_25	NDUFB9	12966	-2.5708110332489014	-0.68662673	Yes	
row_26	NDUFA6	12975	-2.5815038681030273	-0.6753256	Yes	
row_27	NDUFA11	13013	-2.621441602706909	-0.6657586	Yes	
row_28	NDUFB5	13108	-2.710465669631958	-0.6595521	Yes	
row_29	SDHC	13221	-2.80730938911438	-0.6540917	Yes	
row_30	CHCHD10	13231	-2.8178699016571045	-0.6417735	Yes	
row_31	NDUFS8	13436	-3.0311379432678223	-0.6413697	Yes	
row_32	NDUFB4	13492	-3.0865163803100586	-0.6308615	Yes	
row_33	NDUFA7	13531	-3.128912925720215	-0.6190352	Yes	
row_34	SDHD	13540	-3.1407365798950195	-0.60517126	Yes	
row_35	NDUFB10	13635	-3.2621233463287354	-0.5964367	Yes	
row_36	COX6B1	13670	-3.3073627948760986	-0.5835281	Yes	
row_37	NDUFB7	13675	-3.310663938522339	-0.5686211	Yes	
row_38	NDUFA13	13750	-3.417632579803467	-0.5578516	Yes	
row_39	NDUFA12	13894	-3.614835500717163	-0.5507402	Yes	
row_40	SDHAF2	13908	-3.6346871852874756	-0.5349432	Yes	
row_41	NDUFS2	13922	-3.6594531536102295	-0.51903284	Yes	
row_42	SDHB	13983	-3.779219150543213	-0.5056808	Yes	
row_43	COX8A	13996	-3.7995376586914062	-0.48906234	Yes	
row_44	COX6A1	13999	-3.807708263397217	-0.4717453	Yes	
row_45	UQCR11	14055	-3.9043428897857666	-0.45748934	Yes	
row_46	NDUFA9	14093	-3.9721009731292725	-0.44173288	Yes	
row_47	UQCRQ	14094	-3.9749245643615723	-0.42351735	Yes	
row_48	NDUFAB1	14115	-4.004497051239014	-0.4064885	Yes	
row_49	NDUFB3	14129	-4.033053874969482	-0.38886604	Yes	
row_50	NDUFS6	14204	-4.1876020431518555	-0.3745681	Yes	
row_51	COX5A	14249	-4.254239082336426	-0.35798147	Yes	
row_52	NDUFV1	14296	-4.366916179656982	-0.34101072	Yes	
row_53	NDUFC1	14354	-4.491771697998047	-0.324195	Yes	
row_54	NDUFV2	14459	-4.730975151062012	-0.30939037	Yes	
row_55	NDUFC2	14470	-4.754188060760498	-0.28826487	Yes	
row_56	NDUFA2	14535	-4.915759086608887	-0.269969	Yes	
row_57	NDUFA1	14592	-5.060835361480713	-0.25047937	Yes	
row_58	NDUFB2	14604	-5.10227108001709	-0.22782487	Yes	
row_59	NDUFS7	14607	-5.108597278594971	-0.20454636	Yes	
row_60	COX7B	14636	-5.181973457336426	-0.1826505	Yes	
row_61	NDUFS3	14807	-5.815183639526367	-0.1672407	Yes	
row_62	NDUFB6	14815	-5.843623161315918	-0.14092442	Yes	
row_63	COX5B	14828	-5.9328131675720215	-0.114529975	Yes	
row_64	UQCR10	14856	-6.055020809173584	-0.08856717	Yes	
row_65	COX7A2	14898	-6.372241497039795	-0.062076215	Yes	
row_66	UQCRFS1	15099	-8.779319763183594	-0.035066262	Yes	
row_67	NDUFB11	15104	-8.993675231933594	0.005883821	Yes	
