NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COX7A1	1179	4.6470184326171875	-0.06453649	No	
row_1	COX4I2	1270	4.318418502807617	-0.05780098	No	
row_2	COX6B2	3682	0.8058344125747681	-0.21536371	No	
row_3	SLC25A13	5327	0.22154851257801056	-0.32376662	No	
row_4	NDUFAF1	5567	0.16677503287792206	-0.33912998	No	
row_5	NDUFA5	6467	-7.689640042372048E-4	-0.39876288	No	
row_6	LYRM4	7158	-0.11687648296356201	-0.44419014	No	
row_7	UQCRB	7288	-0.14141888916492462	-0.45233127	No	
row_8	NDUFS4	7423	-0.16669264435768127	-0.46072972	No	
row_9	COX19	7462	-0.1727963536977768	-0.46274206	No	
row_10	LYRM7	7746	-0.2305179238319397	-0.48083663	No	
row_11	TTC19	7881	-0.25993287563323975	-0.48896074	No	
row_12	CYCS	8460	-0.3984352946281433	-0.5261301	No	
row_13	NUBPL	8482	-0.40245458483695984	-0.526339	No	
row_14	COX15	8487	-0.40351229906082153	-0.52541715	No	
row_15	COQ10B	8751	-0.47059983015060425	-0.54147863	No	
row_16	NDUFA4	8778	-0.4778268039226532	-0.5417975	No	
row_17	COX6C	8925	-0.5155831575393677	-0.54996544	No	
row_18	HIGD1A	9187	-0.5939685106277466	-0.5655313	No	
row_19	GOT2	9835	-0.8136315941810608	-0.6060562	No	
row_20	ECSIT	9877	-0.827212393283844	-0.6063421	No	
row_21	COX11	9978	-0.8611215353012085	-0.610442	No	
row_22	LETM1	9981	-0.8613951206207275	-0.6080403	No	
row_23	SLC25A18	10092	-0.9059045314788818	-0.6126718	No	
row_24	UQCRH	10134	-0.9226226210594177	-0.612677	No	
row_25	SDHA	10243	-0.9615868330001831	-0.61701196	No	
row_26	OXA1L	10281	-0.9776011109352112	-0.61659	No	
row_27	HSPA9	10481	-1.052756667137146	-0.6266933	No	
row_28	UQCRC2	10587	-1.097002625465393	-0.6304309	No	
row_29	COX7C	10676	-1.1374608278274536	-0.6329217	No	
row_30	NDUFAF3	10826	-1.2125569581985474	-0.639238	No	
row_31	NDUFA10	10980	-1.2800663709640503	-0.64562106	No	
row_32	ETFB	11235	-1.400412917137146	-0.6583499	No	
row_33	HSCB	11273	-1.4195582866668701	-0.6566276	No	
row_34	TMEM126A	11522	-1.5316344499588013	-0.6685723	Yes	
row_35	TRAP1	11523	-1.5325113534927368	-0.6640634	Yes	
row_36	SLC25A22	11586	-1.5650968551635742	-0.6635713	Yes	
row_37	CYC1	11608	-1.5787479877471924	-0.6603193	Yes	
row_38	HIGD2A	11643	-1.593618392944336	-0.65788597	Yes	
row_39	COX7A2L	11796	-1.6732503175735474	-0.6630459	Yes	
row_40	NDUFA3	11835	-1.7013862133026123	-0.6605608	Yes	
row_41	ACAD9	11936	-1.764132022857666	-0.6620038	Yes	
row_42	GOT1	12118	-1.8862744569778442	-0.66846067	Yes	
row_43	NDUFS5	12204	-1.9548548460006714	-0.6683476	Yes	
row_44	NDUFAF2	12250	-1.9822791814804077	-0.6655004	Yes	
row_45	NDUFS1	12260	-1.9872099161148071	-0.6602506	Yes	
row_46	NDUFA8	12330	-2.041552782058716	-0.65882105	Yes	
row_47	MDH1	12370	-2.0638837814331055	-0.6553358	Yes	
row_48	NDUFB1	12479	-2.139242172241211	-0.6562059	Yes	
row_49	NDUFV3	12558	-2.206632137298584	-0.6548876	Yes	
row_50	NDUFB8	12644	-2.2793684005737305	-0.65381974	Yes	
row_51	ETFDH	12661	-2.298218250274658	-0.6481193	Yes	
row_52	UQCRC1	12675	-2.308640956878662	-0.64218915	Yes	
row_53	COX4I1	12901	-2.5061185359954834	-0.649741	Yes	
row_54	FXN	12914	-2.5177557468414307	-0.6431293	Yes	
row_55	NDUFB9	12966	-2.5708110332489014	-0.63894856	Yes	
row_56	NDUFA6	12975	-2.5815038681030273	-0.6318839	Yes	
row_57	NDUFA11	13013	-2.621441602706909	-0.6266255	Yes	
row_58	SURF1	13044	-2.6487252712249756	-0.6208224	Yes	
row_59	NDUFB5	13108	-2.710465669631958	-0.6170268	Yes	
row_60	HCCS	13129	-2.725994348526001	-0.6103331	Yes	
row_61	SDHC	13221	-2.80730938911438	-0.6081099	Yes	
row_62	COX16	13228	-2.8142940998077393	-0.6002277	Yes	
row_63	NDUFAF4	13274	-2.852247953414917	-0.59482086	Yes	
row_64	TMEM126B	13285	-2.8667080402374268	-0.5870498	Yes	
row_65	COX18	13310	-2.8963563442230225	-0.58012015	Yes	
row_66	MDH2	13317	-2.904212474822998	-0.5719734	Yes	
row_67	SFXN4	13320	-2.907701253890991	-0.563551	Yes	
row_68	LYRM2	13421	-3.009669542312622	-0.5613295	Yes	
