NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	79	-0.8557666	-2.8944414	0.0	0.0	0.0	1188	tags=73%, list=8%, signal=79%	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	163	-0.7288947	-2.7942839	0.0	0.0	0.0	1369	tags=53%, list=9%, signal=57%	
INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.9	INTERFERON ALPHA BETA SIGNALING%REACTOME%R-HSA-909733.9	Details ...	62	-0.8137056	-2.6846046	0.0	0.0	0.0	1111	tags=60%, list=7%, signal=64%	
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN%GOBP%GO:0048002	Details ...	51	-0.8157209	-2.6123838	0.0	0.0	0.0	1192	tags=55%, list=8%, signal=59%	
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	Details ...	150	-0.69026786	-2.6002927	0.0	0.0	0.0	2900	tags=61%, list=19%, signal=74%	
INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 91%877300	INTERFERON GAMMA SIGNALING%REACTOME DATABASE ID RELEASE 91%877300	Details ...	86	-0.73883164	-2.5808666	0.0	0.0	0.0	1192	tags=45%, list=8%, signal=49%	
MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 91%5389840	MITOCHONDRIAL TRANSLATION ELONGATION%REACTOME DATABASE ID RELEASE 91%5389840	Details ...	85	-0.75188357	-2.5675118	0.0	0.0	0.0	2491	tags=74%, list=16%, signal=88%	
MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	MITOCHONDRIAL TRANSLATION%GOBP%GO:0032543	Details ...	103	-0.7276315	-2.5621936	0.0	0.0	0.0	2491	tags=65%, list=16%, signal=77%	
ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	ANTIGEN PROCESSING AND PRESENTATION%GOBP%GO:0019882	Details ...	73	-0.7614956	-2.5469682	0.0	0.0	0.0	1548	tags=45%, list=10%, signal=50%	
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.3	MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.3	Details ...	85	-0.744224	-2.546264	0.0	0.0	0.0	2491	tags=72%, list=16%, signal=85%	
